bill_id,state,identifier,title,score_numeric,advanced,derived_status,first_action_date,latest_passage_date,latest_action_date
ocd-bill/cd6f3418-18b5-40d6-b5ad-25adedcfa424,New York,S 7429,Relates to establishing the energy performance benchmarking program,5.0,0,active_in_committee_or_chamber,2025-04-16 00:00:00+00:00,,2025-04-16 00:00:00+00:00
ocd-bill/2881e691-05cc-4184-bb66-2f272e8b0b38,New York,S 8037,"Establishes a datacenter utility rate classification, providing targeted congestion management incentives for upstate New York, and regulating off-grid power connections for datacenter operations",6.0,0,active_in_committee_or_chamber,2025-05-15 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/5bffcbdb-3a24-40bc-bdf1-be858e2dd636,New York,A 9039,"Establishes the ""accountability of costs for data centers act""",4.0,0,active_in_committee_or_chamber,2025-09-05 00:00:00+00:00,,2026-06-01 00:00:00+00:00
ocd-bill/ddb65e97-307f-4256-8b35-f54c96cfa28d,New York,A 9064,Prohibits electric corporations and gas corporations from increasing charges due to the building or operation of a data center,4.0,0,active_in_committee_or_chamber,2025-09-05 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/82aab4cb-8b1e-4686-98da-0f8d8218694c,New York,A 9086,Relates to the regulation of energy consumption by data centers,4.0,0,active_in_committee_or_chamber,2025-09-12 00:00:00+00:00,,2026-06-01 00:00:00+00:00
ocd-bill/5afcec76-b79b-412b-820f-3a2bb888aded,New York,A 9107,Directs the public service commission to provide a class of service for facilities that use large amounts of energy; and repeals certain provisions upon the expiration thereof,4.0,0,active_in_committee_or_chamber,2025-09-26 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/3ed564db-7432-4705-ba5f-3c47dd7d84f2,New York,A 9136,Requires new data centers to incorporate thermal energy networks,4.0,0,active_in_committee_or_chamber,2025-10-17 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/0a0e33a7-80d0-44ea-a949-116ad5880c81,New York,S 8536,Prohibits electric corporations and gas corporations from increasing charges due to the building or operation of a data center,4.0,0,active_in_committee_or_chamber,2025-10-20 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/bcd26c80-7030-40ff-a5d1-e515b69a295c,New York,S 8540,"Establishes the ""accountability of costs for data centers act""",3.0,0,active_in_committee_or_chamber,2025-10-22 00:00:00+00:00,,2026-05-29 00:00:00+00:00
ocd-bill/4d73551f-e382-4d5e-9539-6709262b0f9f,New York,S 8546,Establishes a grid modernization surcharge,3.0,0,active_in_committee_or_chamber,2025-10-24 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/736c937c-64d1-4c6b-9a7d-5b668b7fd8b1,New York,A 9297,Provides a host community benefit for customers in a host community where data centers are expanded or placed,4.0,1,passed_chamber_or_legislature,2025-12-10 00:00:00+00:00,2026-05-18 00:00:00+00:00,2026-05-18 00:00:00+00:00
ocd-bill/7bc7956b-ab2a-494f-844b-b2bab805b5ee,New York,S 8645,"Authorizes ORES to issue siting permits for battery energy storage systems for use by data centers, and requires data centers to submit carbon reduction plans",6.0,0,active_in_committee_or_chamber,2026-01-07 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/50c770bc-688f-4082-b7a0-0493ad5ae7c6,New York,A 10049,Establishes a grid modernization surcharge,4.0,0,active_in_committee_or_chamber,2026-01-30 00:00:00+00:00,,2026-01-30 00:00:00+00:00
ocd-bill/eac538cc-c2d5-480f-8082-dc08b4a992d8,New York,S 9144,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,1.0,0,active_in_committee_or_chamber,2026-02-06 00:00:00+00:00,,2026-05-12 00:00:00+00:00
ocd-bill/90f8741e-9640-47db-900c-35101428b855,New York,A 10141,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,1.0,0,active_in_committee_or_chamber,2026-02-09 00:00:00+00:00,,2026-05-12 00:00:00+00:00
ocd-bill/e58b76f4-27e1-4630-b037-6024d11c9295,New York,S 9182,Enacts the stop subsidizing data centers act,2.0,0,active_in_committee_or_chamber,2026-02-11 00:00:00+00:00,,2026-05-22 00:00:00+00:00
ocd-bill/34250a08-8316-4c27-9aa3-e09ed9bccfbe,New York,A 10216,Repeals paragraph 37 of subdivision (a) of section 1115 of the tax law and subdivision (y) of section 1115 of the tax law relating to sale and use taxes with respect to data centers,3.0,0,active_in_committee_or_chamber,2026-02-12 00:00:00+00:00,,2026-02-12 00:00:00+00:00
ocd-bill/94fa6cd8-3b80-42dd-a76d-23088787d66b,New York,S 9288,Repeals paragraph 37 of subdivision (a) of section 1115 of the tax law and subdivision (y) of section 1115 of the tax law relating to sale and use taxes with respect to data centers,3.0,0,active_in_committee_or_chamber,2026-02-25 00:00:00+00:00,,2026-02-25 00:00:00+00:00
ocd-bill/48ae01bd-49c7-4aa7-83b9-4ef648384690,New York,A 10852,Enacts the stop subsidizing data centers act,2.0,0,active_in_committee_or_chamber,2026-04-08 00:00:00+00:00,,2026-05-21 00:00:00+00:00
ocd-bill/1fd943f4-1162-4884-842d-b6a8199ceab7,New York,A 11147,Relates to defining community significant projects and including such projects in the excelsior jobs program,7.0,0,active_in_committee_or_chamber,2026-04-27 00:00:00+00:00,,2026-04-27 00:00:00+00:00
ocd-bill/500f789f-8007-4605-9669-1a1af46e7ec7,New York,A 11419,Relates to establishing guidelines for the connection of utility service for high-usage customers,6.0,0,active_in_committee_or_chamber,2026-05-15 00:00:00+00:00,,2026-05-15 00:00:00+00:00
ocd-bill/390a9c01-6827-4db7-9d28-8c275c43e117,New York,A 11423,Relates to prohibiting the use of nondisclosure agreements to prevent disclosure of information relating to environmental and health impacts of certain infrastructure and energy development projects,4.0,0,active_in_committee_or_chamber,2026-05-15 00:00:00+00:00,,2026-05-15 00:00:00+00:00
ocd-bill/e91fdd8a-7223-4dd5-9028-8eb5927217b8,New York,S 10487,"Enacts the ""data center water stewardship and reuse act""",4.0,0,active_in_committee_or_chamber,2026-05-15 00:00:00+00:00,,2026-05-15 00:00:00+00:00
ocd-bill/2fb66d72-5a66-46c1-8118-7f9d8cfc306d,New York,S 10546,Enacts the homegrown energy act,4.0,0,active_in_committee_or_chamber,2026-05-20 00:00:00+00:00,,2026-05-20 00:00:00+00:00
ocd-bill/b7c4d91a-54d5-4bbc-970a-646704a05c19,New York,A 11560,Enacts the responsible data center development act,1.0,1,passed_chamber_or_legislature,2026-06-01 00:00:00+00:00,2026-06-04 00:00:00+00:00,2026-06-04 00:00:00+00:00
ocd-bill/8fe5c79e-6507-4bf3-9d38-dcc42bb5d0e6,New York,S 10642,Enacts the responsible data center development act,1.0,0,active_in_committee_or_chamber,2026-06-01 00:00:00+00:00,,2026-06-04 00:00:00+00:00
ocd-bill/08b3ea01-0df5-4cff-90d5-8d7d1ab83e94,Virginia,SB 1078,"Siting of data centers; impacts on resources, site assessment.",4.0,0,active_in_committee_or_chamber,2023-01-09 00:00:00+00:00,,2023-02-03 00:00:00+00:00
ocd-bill/8406fc10-6bc9-46c6-b2c1-7f39cff7d3b8,Virginia,SJ 240,"Data center development; DOE to study impact on Virginia's environment, etc., cryptocurrency mining.",5.0,1,passed_chamber_or_legislature,2023-01-09 00:00:00+00:00,2023-02-06 00:00:00+00:00,2023-02-22 00:00:00+00:00
ocd-bill/ac2db1af-31d0-4df7-b5a2-a5602739106d,Virginia,HB 1797,Renewable energy; offshore wind development.,6.0,1,passed_chamber_or_legislature,2023-01-10 00:00:00+00:00,2023-02-07 00:00:00+00:00,2023-02-20 00:00:00+00:00
ocd-bill/4cabe893-121b-4329-a678-0d4d22c76de2,Virginia,HB 1974,Electric utilities; underground transmission lines.,7.0,0,active_in_committee_or_chamber,2023-01-10 00:00:00+00:00,,2023-01-31 00:00:00+00:00
ocd-bill/22c03505-82fa-4c91-a512-a2e6c94a825f,Virginia,HB 1986,Stormwater management regulations; enterprise data center operations.,4.0,0,active_in_committee_or_chamber,2023-01-10 00:00:00+00:00,,2023-02-07 00:00:00+00:00
ocd-bill/e2ea9ebd-d14d-42bf-ae74-89cd6996320e,Virginia,HB 2026,"Renewable energy; biomass-fired facilities, Department of Forestry advisory panel, report.",6.0,1,enacted,2023-01-10 00:00:00+00:00,2023-02-25 00:00:00+00:00,2023-05-12 00:00:00+00:00
ocd-bill/5662bfe4-d191-4f20-b3ce-f62b26977a17,Virginia,HJ 522,"Data center development; DOE to study impacts on Virginia's environment, etc.",5.0,0,active_in_committee_or_chamber,2023-01-10 00:00:00+00:00,,2023-02-07 00:00:00+00:00
ocd-bill/120fb995-d448-41b0-abd8-da94c4df0e9e,Virginia,SB 1125,"Renewable energy portfolio standard requirements; State Corporation Commission authority, report.",6.0,0,active_in_committee_or_chamber,2023-01-10 00:00:00+00:00,,2023-01-30 00:00:00+00:00
ocd-bill/62121f50-4ff4-4ad7-ae7f-be27a66bec3e,Virginia,SB 1231,"Renewable energy; biomass-fired facilities, Department of Forestry advisory panel, report.",6.0,1,enacted,2023-01-10 00:00:00+00:00,2023-03-08 00:00:00+00:00,2023-05-12 00:00:00+00:00
ocd-bill/b5e458b1-8d6a-449a-947e-80e5e79f10f3,Virginia,SB 1265,"Virginia Electric Utility Regulation Act; retail competitiveness, review proceedings, etc.",7.0,1,enacted,2023-01-10 00:00:00+00:00,2023-04-12 00:00:00+00:00,2023-04-12 00:00:00+00:00
